tick	elapsed_ticks	build	status	fps_num	fps_den	frames	total_frames	active_frame	late	audio_gaps	audio_rebuffers	first_rebuffer_frame	last_rebuffer_frame	audio_capacity_frames	error	error_frame
2169	6539	69a03b35eaM-260831	stopped	24	1	1442	7202	1442	1	1	0	0	0	262144	0	0
1046	4981	-260901	stopped	24	1	1148	7202	1148	0	0	0	0	0	262144	0	0
