tick	elapsed_ticks	build	status	fps_num	fps_den	frames	total_frames	active_frame	late	audio_gaps	audio_rebuffers	first_rebuffer_frame	last_rebuffer_frame	audio_capacity_frames	seek_count	seek_reconstructed_frames	max_seek_ticks	error	error_frame
2086	4748	-260901	stopped	24	1	966	7202	966	1	1	0	0	0	262144	4	218	209	0	0
21324	5014	-260901	stopped	24	1	1810	7202	1810	0	1	0	0	0	262144	5	165	111	0	0
