tick	elapsed_ticks	build	status	fps_num	fps_den	frames	total_frames	active_frame	late	audio_gaps	audio_rebuffers	first_rebuffer_frame	last_rebuffer_frame	audio_capacity_frames	error	error_frame
22688	335	69a03b35eaM-260831	stopped	24	1	886	7202	886	0	0	0	0	0	262144	0	0
23347	7107	69a03b35eaM-260831	stopped	24	1	1623	7202	1623	1	0	0	0	0	262144	0	0
