tick	elapsed_ticks	build	status	fps_num	fps_den	frames	total_frames	active_frame	late	audio_gaps	error	error_frame
10446	7750	69a03b35eaM-260831	stopped	24	1	1789	7202	1789	0	2	0	0
18442	26354	69a03b35eaM-260831	complete	24	1	7202	7202	7202	11	3	0	0
