tick	elapsed_ticks	hz	build	status	fps_num	fps_den	frames	total_frames	active_frame	late	audio_gaps	audio_rebuffers	first_rebuffer_frame	last_rebuffer_frame	audio_capacity_frames	audio_low_water_frames	audio_buffer_callbacks	startup_ticks	index_cached	index_entries	seek_count	seek_reconstructed_frames	max_seek_ticks	error	error_frame
6152	8932	100	-260901	stopped	24	1	1953	7202	1953	0	0	0	0	0	262144	1203	1882	66	1	61	5	223	148	0	0
90960	4705	100	-260901	stopped	24	1	2878	7202	2878	3	0	0	0	0	262144	1345	605	68	1	61	16	655	211	0	0
